No.,Visible,Ref. Code,Compound Name,Chemical Formula,Score,SemiQuant [%],Cell,Display Color,Database ID,Subfiles
26,FALSE,00-001-0735,Calcium,Ca,-,-,a 5.56000 - b 5.56000 - c 5.56000,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
27,FALSE,00-001-0737,Calcium,Ca,-,-,a 5.56000 - b 5.56000 - c 5.56000,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
28,FALSE,00-001-0745,Cerium,Ce,-,-,a 5.14000 - b 5.14000 - c 5.14000,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
29,FALSE,00-001-0746,Barium Oxide,Ba O,-,-,a 5.53900 - b 5.53900 - c 5.53900,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Forensic, Inorganic"
30,FALSE,00-001-0751,Lithium Bromide,Li Br,-,-,a 2.74500 - b 2.74500 - c 2.74500,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
31,FALSE,00-001-0759,Copper Chloride,Cu Cl,-,-,a 5.49000 - b 5.49000 - c 5.49000,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
32,FALSE,00-001-0776,Potassium Iodate,K I O3,-,-,a 4.46000 - b 4.46000 - c 4.46000,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Common Phase, Inorganic"
33,FALSE,00-001-0787,Silicon,Si,-,-,a 5.43000 - b 5.43000 - c 5.43000,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
34,FALSE,00-001-0790,Potassium Chloride,K Cl,-,-,a 3.13800 - b 3.13800 - c 3.13800,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
35,FALSE,00-001-0791,Silicon,Si,-,-,a 5.42000 - b 5.42000 - c 5.42000,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
36,FALSE,00-001-0792,Zinc Sulfide,Zn S,-,-,a 5.40000 - b 5.40000 - c 5.40000,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
37,FALSE,00-001-0793,Copper Chloride,Cu Cl,-,-,a 5.40700 - b 5.40700 - c 5.40700,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
38,FALSE,00-001-0800,Cerium Oxide,Ce O2,-,-,a 5.41000 - b 5.41000 - c 5.41000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
39,FALSE,00-001-0803,Barium Cerium Oxide,Ba Ce O3,-,-,a 4.38600 - b 4.38600 - c 4.38600,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
40,FALSE,00-001-0832,Sodium,Na,-,-,a 4.20000 - b 4.20000 - c 4.20000,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
41,FALSE,00-001-0843,Cesium Bromide,Cs Br,-,-,a 4.28700 - b 4.28700 - c 4.28700,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
42,FALSE,00-001-0850,Sodium,Na,-,-,a 4.29100 - b 4.29100 - c 4.29100,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
43,FALSE,00-001-0886,Strontium Oxide,Sr O,-,-,a 5.14400 - b 5.14400 - c 5.14400,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
44,FALSE,00-001-0887,Cerium,Ce,-,-,a 5.14300 - b 5.14300 - c 5.14300,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
45,FALSE,00-001-0890,Barium Zirconium Oxide,Ba Zr O3,-,-,a 4.17600 - b 4.17600 - c 4.17600,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
46,FALSE,00-001-0899,Lithium Chloride,Li Cl,-,-,a 5.14000 - b 5.14000 - c 5.14000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
47,FALSE,00-001-0900,Lithium Chloride,Li Cl,-,-,a 2.56600 - b 2.56600 - c 2.56600,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
48,FALSE,00-001-0913,Sodium Carbon Nitride,Na C N,-,-,a 5.83000 - b 5.83000 - c 5.83000,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
49,FALSE,00-001-0920,Thorium,Th,-,-,a 5.07220 - b 5.07220 - c 5.07220,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Common Phase, Educational pattern, Inorganic"
50,FALSE,00-001-0935,Cesium Chloride,Cs Cl,-,-,a 4.20000 - b 4.20000 - c 4.20000,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
51,FALSE,00-001-0936,Cesium Chloride,Cs Cl,-,-,a 4.11800 - b 4.11800 - c 4.11800,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
52,FALSE,00-001-0937,Strontium Zirconium Oxide,Sr Zr O3,-,-,a 4.08900 - b 4.08900 - c 4.08900,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
53,FALSE,00-001-0949,Potassium Cobalt Fluoride,K Co F3,-,-,a 4.07000 - b 4.07000 - c 4.07000,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
54,FALSE,00-001-0950,Silver Bromide,Ag Br,-,-,a 5.75500 - b 5.75500 - c 5.75500,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
55,FALSE,00-001-0958,Ammonium Bromide,N H4 Br,-,-,a 4.04700 - b 4.04700 - c 4.04700,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
56,FALSE,00-001-0972,Lead,Pb,-,-,a 4.93960 - b 4.93960 - c 4.93960,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
57,FALSE,00-001-0974,Ammonium Bromide,N H4 Br,-,-,a 4.04700 - b 4.04700 - c 4.04700,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
58,FALSE,00-001-0980,Calcium Sulfide,Ca S,-,-,a 5.68600 - b 5.68600 - c 5.68600,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
59,FALSE,00-001-0985,Potassium Nickel Fluoride,K Ni F3,-,-,a 4.02000 - b 4.02000 - c 4.02000,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
60,FALSE,00-001-0986,Ammonium Bromide,N H4 Br,-,-,a 3.98800 - b 3.98800 - c 3.98800,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
61,FALSE,00-001-0993,Sodium Chloride,Na Cl,-,-,a 5.62800 - b 5.62800 - c 5.62800,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
62,FALSE,00-001-0994,Sodium Chloride,Na Cl,-,-,a 5.62800 - b 5.62800 - c 5.62800,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
63,FALSE,00-001-0995,Lead,Pb,-,-,a 4.91900 - b 4.91900 - c 4.91900,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
64,FALSE,00-001-1013,Silver Chloride,Ag Cl,-,-,a 5.54500 - b 5.54500 - c 5.54500,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
65,FALSE,00-001-1018,Strontium Titanium Oxide,Sr Ti O3,-,-,a 3.92000 - b 3.92000 - c 3.92000,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
